opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,manager,regional_office,series,sales_price,sector,year_established,revenue,employees,office_location,subsidiary_of
ZQHJNTDK,Moses Frase,GTX Plus Basic,Isdom,Won,2017-08-26,2017-11-13,1042.0,Dustin Brinkmann,Central,GTX,1096,medical,2002.0,3178.24,4540.0,United States,Unknown
VIZ9ZLVT,Moses Frase,GTX Plus Basic,Rundofase,Lost,2017-08-28,2017-11-30,0.0,Dustin Brinkmann,Central,GTX,1096,technolgy,1983.0,1008.06,1238.0,United States,Unknown
MZ987882,Moses Frase,GTX Plus Basic,Warephase,Won,2017-08-31,2017-12-17,1374.0,Dustin Brinkmann,Central,GTX,1096,services,1997.0,2041.73,5276.0,United States,Unknown
TKI8MEZZ,Moses Frase,GTX Plus Basic,Domzoom,Won,2017-09-04,2017-12-31,975.0,Dustin Brinkmann,Central,GTX,1096,entertainment,1998.0,217.87,551.0,United States,Unknown
QSHP9AHU,Moses Frase,GTX Plus Basic,Funholding,Won,2017-09-04,2017-12-13,847.0,Dustin Brinkmann,Central,GTX,1096,finance,1991.0,2819.5,7227.0,United States,Golddex
S5NVSXEX,Moses Frase,GTX Plus Basic,Condax,Won,2017-09-07,2017-12-11,1033.0,Dustin Brinkmann,Central,GTX,1096,medical,2017.0,4.54,9.0,United States,Unknown
GZYL4SG1,Moses Frase,GTX Plus Basic,Rangreen,Won,2017-10-13,2017-10-26,978.0,Dustin Brinkmann,Central,GTX,1096,technolgy,1987.0,2938.67,8775.0,Panama,Unknown
Z1IF1M5M,Moses Frase,GTX Plus Basic,Konmatfix,Won,2017-11-25,2017-11-29,1001.0,Dustin Brinkmann,Central,GTX,1096,marketing,1985.0,375.43,1190.0,United States,Unknown
1HD5JJM3,Moses Frase,GTX Plus Basic,Unknown,Prospecting,,,,Dustin Brinkmann,Central,GTX,1096,Unknown,,,,Unknown,Unknown
NWPSEF2I,Moses Frase,GTX Plus Basic,Unknown,Prospecting,,,,Dustin Brinkmann,Central,GTX,1096,Unknown,,,,Unknown,Unknown
0E8D6TCQ,Moses Frase,GTX Plus Basic,Unknown,Prospecting,,,,Dustin Brinkmann,Central,GTX,1096,Unknown,,,,Unknown,Unknown
CZVN09WN,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,2016-11-14,2017-03-20,1170.0,Melvin Marxen,Central,GTX,1096,marketing,1985.0,375.43,1190.0,United States,Unknown
0DFXFKT7,Darcel Schlecht,GTX Plus Basic,Rundofase,Lost,2016-11-17,2017-03-21,0.0,Melvin Marxen,Central,GTX,1096,technolgy,1983.0,1008.06,1238.0,United States,Unknown
GCA97W27,Darcel Schlecht,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-28,2017-03-06,1161.0,Melvin Marxen,Central,GTX,1096,retail,2007.0,894.33,1635.0,Italy,Unknown
I4UCA7CU,Darcel Schlecht,GTX Plus Basic,Stanredtax,Won,2017-01-03,2017-03-21,1012.0,Melvin Marxen,Central,GTX,1096,finance,1987.0,1698.2,3798.0,United States,Unknown
RLUGVSNV,Darcel Schlecht,GTX Plus Basic,Funholding,Won,2017-01-22,2017-05-12,943.0,Melvin Marxen,Central,GTX,1096,finance,1991.0,2819.5,7227.0,United States,Golddex
NOXNFJ2L,Darcel Schlecht,GTX Plus Basic,Warephase,Won,2017-01-24,2017-05-17,1067.0,Melvin Marxen,Central,GTX,1096,services,1997.0,2041.73,5276.0,United States,Unknown
IQ9KYZCG,Darcel Schlecht,GTX Plus Basic,Statholdings,Won,2017-01-27,2017-05-11,1155.0,Melvin Marxen,Central,GTX,1096,employment,1997.0,291.27,586.0,United States,Unknown
MMWX1A4H,Darcel Schlecht,GTX Plus Basic,Ron-tech,Lost,2017-02-05,2017-06-20,0.0,Melvin Marxen,Central,GTX,1096,medical,1992.0,3922.42,6837.0,United States,Unknown
HM334UL2,Darcel Schlecht,GTX Plus Basic,Rangreen,Won,2017-02-10,2017-03-30,1126.0,Melvin Marxen,Central,GTX,1096,technolgy,1987.0,2938.67,8775.0,Panama,Unknown
ZBBMGEV4,Darcel Schlecht,GTX Plus Basic,Inity,Won,2017-02-11,2017-05-16,1189.0,Melvin Marxen,Central,GTX,1096,marketing,1986.0,2403.58,8801.0,United States,Unknown
BEQIZZ7W,Darcel Schlecht,GTX Plus Basic,Codehow,Won,2017-02-19,2017-03-04,1217.0,Melvin Marxen,Central,GTX,1096,software,1998.0,2714.9,2641.0,United States,Acme Corporation
JE245P8R,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,2017-03-03,2017-05-28,1149.0,Melvin Marxen,Central,GTX,1096,marketing,1985.0,375.43,1190.0,United States,Unknown
4T8KR12S,Darcel Schlecht,GTX Plus Basic,Streethex,Won,2017-03-04,2017-03-20,1076.0,Melvin Marxen,Central,GTX,1096,retail,1988.0,1376.8,1165.0,Belgium,Unknown
ZGZSYIJV,Darcel Schlecht,GTX Plus Basic,Finhigh,Lost,2017-03-09,2017-05-15,0.0,Melvin Marxen,Central,GTX,1096,finance,2006.0,1102.43,1759.0,United States,Unknown
XPP2Q5WQ,Darcel Schlecht,GTX Plus Basic,Globex Corporation,Lost,2017-03-12,2017-05-02,0.0,Melvin Marxen,Central,GTX,1096,technolgy,2000.0,1223.72,2497.0,Norway,Unknown
A2G8VYZY,Darcel Schlecht,GTX Plus Basic,Globex Corporation,Won,2017-03-13,2017-03-17,1247.0,Melvin Marxen,Central,GTX,1096,technolgy,2000.0,1223.72,2497.0,Norway,Unknown
GOM8T4Y4,Darcel Schlecht,GTX Plus Basic,Codehow,Won,2017-03-15,2017-05-09,1178.0,Melvin Marxen,Central,GTX,1096,software,1998.0,2714.9,2641.0,United States,Acme Corporation
06YL7WVJ,Darcel Schlecht,GTX Plus Basic,Ron-tech,Won,2017-03-19,2017-03-21,929.0,Melvin Marxen,Central,GTX,1096,medical,1992.0,3922.42,6837.0,United States,Unknown
57FO8KSQ,Darcel Schlecht,GTX Plus Basic,Isdom,Lost,2017-03-30,2017-04-07,0.0,Melvin Marxen,Central,GTX,1096,medical,2002.0,3178.24,4540.0,United States,Unknown
1VHUPB8X,Darcel Schlecht,GTX Plus Basic,Streethex,Lost,2017-04-12,2017-04-14,0.0,Melvin Marxen,Central,GTX,1096,retail,1988.0,1376.8,1165.0,Belgium,Unknown
2ZU519Y6,Darcel Schlecht,GTX Plus Basic,Domzoom,Won,2017-04-13,2017-04-19,1327.0,Melvin Marxen,Central,GTX,1096,entertainment,1998.0,217.87,551.0,United States,Unknown
ZESI2PFU,Darcel Schlecht,GTX Plus Basic,Dontechi,Won,2017-04-13,2017-06-27,923.0,Melvin Marxen,Central,GTX,1096,software,1982.0,4618.0,10083.0,United States,Unknown
X8T4XLTY,Darcel Schlecht,GTX Plus Basic,Scottech,Won,2017-04-13,2017-04-23,1058.0,Melvin Marxen,Central,GTX,1096,marketing,2012.0,45.39,100.0,United States,Inity
JS9SCCJ3,Darcel Schlecht,GTX Plus Basic,Gogozoom,Lost,2017-04-14,2017-04-15,0.0,Melvin Marxen,Central,GTX,1096,telecommunications,2007.0,86.68,187.0,United States,Sonron
84T104O7,Darcel Schlecht,GTX Plus Basic,Warephase,Won,2017-04-17,2017-04-25,1170.0,Melvin Marxen,Central,GTX,1096,services,1997.0,2041.73,5276.0,United States,Unknown
W7GVZL28,Darcel Schlecht,GTX Plus Basic,Conecom,Lost,2017-04-21,2017-04-30,0.0,Melvin Marxen,Central,GTX,1096,technolgy,2005.0,1520.66,1806.0,United States,Unknown
SLP4PTFK,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,2017-04-24,2017-05-06,1020.0,Melvin Marxen,Central,GTX,1096,marketing,1985.0,375.43,1190.0,United States,Unknown
4DK84UMX,Darcel Schlecht,GTX Plus Basic,Finhigh,Won,2017-04-25,2017-06-20,984.0,Melvin Marxen,Central,GTX,1096,finance,2006.0,1102.43,1759.0,United States,Unknown
HE5988NI,Darcel Schlecht,GTX Plus Basic,Globex Corporation,Lost,2017-04-26,2017-08-09,0.0,Melvin Marxen,Central,GTX,1096,technolgy,2000.0,1223.72,2497.0,Norway,Unknown
N5QER189,Darcel Schlecht,GTX Plus Basic,Rundofase,Won,2017-04-26,2017-05-11,1055.0,Melvin Marxen,Central,GTX,1096,technolgy,1983.0,1008.06,1238.0,United States,Unknown
4UN65HWV,Darcel Schlecht,GTX Plus Basic,Warephase,Won,2017-05-01,2017-08-23,878.0,Melvin Marxen,Central,GTX,1096,services,1997.0,2041.73,5276.0,United States,Unknown
1Y9KPBXY,Darcel Schlecht,GTX Plus Basic,Funholding,Lost,2017-05-06,2017-09-10,0.0,Melvin Marxen,Central,GTX,1096,finance,1991.0,2819.5,7227.0,United States,Golddex
WEB7LYK0,Darcel Schlecht,GTX Plus Basic,Inity,Won,2017-05-09,2017-05-19,1075.0,Melvin Marxen,Central,GTX,1096,marketing,1986.0,2403.58,8801.0,United States,Unknown
WQ5WIP35,Darcel Schlecht,GTX Plus Basic,Zumgoity,Won,2017-05-10,2017-05-30,980.0,Melvin Marxen,Central,GTX,1096,medical,1984.0,441.08,1210.0,United States,Unknown
4N2KE2ER,Darcel Schlecht,GTX Plus Basic,Condax,Won,2017-05-13,2017-08-24,987.0,Melvin Marxen,Central,GTX,1096,medical,2017.0,4.54,9.0,United States,Unknown
5BGYQS4R,Darcel Schlecht,GTX Plus Basic,Finhigh,Won,2017-05-17,2017-08-11,1110.0,Melvin Marxen,Central,GTX,1096,finance,2006.0,1102.43,1759.0,United States,Unknown
SXV6VZVC,Darcel Schlecht,GTX Plus Basic,Bioholding,Won,2017-05-28,2017-08-25,1118.0,Melvin Marxen,Central,GTX,1096,medical,2012.0,587.34,1356.0,Philipines,Unknown
QCIG6H19,Darcel Schlecht,GTX Plus Basic,Isdom,Won,2017-06-07,2017-08-31,1114.0,Melvin Marxen,Central,GTX,1096,medical,2002.0,3178.24,4540.0,United States,Unknown
VP2CW520,Darcel Schlecht,GTX Plus Basic,Treequote,Lost,2017-06-09,2017-08-26,0.0,Melvin Marxen,Central,GTX,1096,telecommunications,1988.0,5266.09,8595.0,United States,Sonron
3ZG0719M,Darcel Schlecht,GTX Plus Basic,Ron-tech,Won,2017-06-10,2017-08-26,1075.0,Melvin Marxen,Central,GTX,1096,medical,1992.0,3922.42,6837.0,United States,Unknown
GZ5M7MIQ,Darcel Schlecht,GTX Plus Basic,Conecom,Lost,2017-06-25,2017-07-01,0.0,Melvin Marxen,Central,GTX,1096,technolgy,2005.0,1520.66,1806.0,United States,Unknown
NX4ODZY2,Darcel Schlecht,GTX Plus Basic,Streethex,Won,2017-06-26,2017-08-31,1028.0,Melvin Marxen,Central,GTX,1096,retail,1988.0,1376.8,1165.0,Belgium,Unknown
2J649YC5,Darcel Schlecht,GTX Plus Basic,Statholdings,Won,2017-07-01,2017-07-11,1308.0,Melvin Marxen,Central,GTX,1096,employment,1997.0,291.27,586.0,United States,Unknown
ADRU5BLP,Darcel Schlecht,GTX Plus Basic,Inity,Lost,2017-07-04,2017-07-12,0.0,Melvin Marxen,Central,GTX,1096,marketing,1986.0,2403.58,8801.0,United States,Unknown
AUPXRV8O,Darcel Schlecht,GTX Plus Basic,Ron-tech,Won,2017-07-04,2017-09-05,1300.0,Melvin Marxen,Central,GTX,1096,medical,1992.0,3922.42,6837.0,United States,Unknown
152DN1FE,Darcel Schlecht,GTX Plus Basic,Cancity,Lost,2017-07-10,2017-07-12,0.0,Melvin Marxen,Central,GTX,1096,retail,2001.0,718.62,2448.0,United States,Unknown
516C0X9F,Darcel Schlecht,GTX Plus Basic,Statholdings,Won,2017-07-14,2017-07-26,1144.0,Melvin Marxen,Central,GTX,1096,employment,1997.0,291.27,586.0,United States,Unknown
AUZM3MLU,Darcel Schlecht,GTX Plus Basic,Betatech,Won,2017-07-16,2017-09-18,1071.0,Melvin Marxen,Central,GTX,1096,medical,1986.0,647.18,1185.0,Kenya,Unknown
2897DN4S,Darcel Schlecht,GTX Plus Basic,Finhigh,Lost,2017-07-17,2017-07-18,0.0,Melvin Marxen,Central,GTX,1096,finance,2006.0,1102.43,1759.0,United States,Unknown
BMQEY089,Darcel Schlecht,GTX Plus Basic,Scottech,Won,2017-07-17,2017-09-16,1203.0,Melvin Marxen,Central,GTX,1096,marketing,2012.0,45.39,100.0,United States,Inity
O3K5RKMI,Darcel Schlecht,GTX Plus Basic,Treequote,Won,2017-07-18,2017-07-19,752.0,Melvin Marxen,Central,GTX,1096,telecommunications,1988.0,5266.09,8595.0,United States,Sonron
NDHQMBA0,Darcel Schlecht,GTX Plus Basic,Globex Corporation,Won,2017-07-19,2017-08-03,1060.0,Melvin Marxen,Central,GTX,1096,technolgy,2000.0,1223.72,2497.0,Norway,Unknown
LHBWJAD3,Darcel Schlecht,GTX Plus Basic,Unknown,Engaging,2017-07-20,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
KRWKDPWW,Darcel Schlecht,GTX Plus Basic,Unknown,Engaging,2017-07-20,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
SEDTNUD7,Darcel Schlecht,GTX Plus Basic,Toughzap,Won,2017-07-21,2017-07-28,1000.0,Melvin Marxen,Central,GTX,1096,retail,1995.0,332.43,799.0,United States,Unknown
P66UXGPS,Darcel Schlecht,GTX Plus Basic,Unknown,Engaging,2017-07-22,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
676KO0LG,Darcel Schlecht,GTX Plus Basic,Gogozoom,Won,2017-07-22,2017-07-29,927.0,Melvin Marxen,Central,GTX,1096,telecommunications,2007.0,86.68,187.0,United States,Sonron
EJJCUJ3P,Darcel Schlecht,GTX Plus Basic,Unknown,Engaging,2017-07-23,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
ODFL6HOF,Darcel Schlecht,GTX Plus Basic,Unknown,Engaging,2017-07-23,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
L3V8UK9H,Darcel Schlecht,GTX Plus Basic,Stanredtax,Won,2017-07-23,2017-07-31,1070.0,Melvin Marxen,Central,GTX,1096,finance,1987.0,1698.2,3798.0,United States,Unknown
23R03LTJ,Darcel Schlecht,GTX Plus Basic,Warephase,Won,2017-07-24,2017-08-07,996.0,Melvin Marxen,Central,GTX,1096,services,1997.0,2041.73,5276.0,United States,Unknown
94E71JAP,Darcel Schlecht,GTX Plus Basic,Isdom,Lost,2017-07-25,2017-11-13,0.0,Melvin Marxen,Central,GTX,1096,medical,2002.0,3178.24,4540.0,United States,Unknown
1976N63N,Darcel Schlecht,GTX Plus Basic,Kinnamplus,Engaging,2017-07-26,,,Melvin Marxen,Central,GTX,1096,retail,2004.0,702.72,1831.0,United States,Unknown
SSK95WLX,Darcel Schlecht,GTX Plus Basic,Unknown,Engaging,2017-07-27,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
9Z2WTTNY,Darcel Schlecht,GTX Plus Basic,Statholdings,Engaging,2017-07-28,,,Melvin Marxen,Central,GTX,1096,employment,1997.0,291.27,586.0,United States,Unknown
UWI771ZX,Darcel Schlecht,GTX Plus Basic,Unknown,Engaging,2017-07-29,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
EY7OI10Z,Darcel Schlecht,GTX Plus Basic,Unknown,Engaging,2017-07-30,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
KQLS98VW,Darcel Schlecht,GTX Plus Basic,Condax,Won,2017-07-30,2017-12-04,1245.0,Melvin Marxen,Central,GTX,1096,medical,2017.0,4.54,9.0,United States,Unknown
LKQL4GRO,Darcel Schlecht,GTX Plus Basic,Scottech,Won,2017-07-30,2017-08-04,1160.0,Melvin Marxen,Central,GTX,1096,marketing,2012.0,45.39,100.0,United States,Inity
D4ZMTQLE,Darcel Schlecht,GTX Plus Basic,Scottech,Won,2017-08-05,2017-12-20,1013.0,Melvin Marxen,Central,GTX,1096,marketing,2012.0,45.39,100.0,United States,Inity
NI5XQR33,Darcel Schlecht,GTX Plus Basic,Cancity,Lost,2017-08-06,2017-08-14,0.0,Melvin Marxen,Central,GTX,1096,retail,2001.0,718.62,2448.0,United States,Unknown
MUSSD9WD,Darcel Schlecht,GTX Plus Basic,Goodsilron,Engaging,2017-08-09,,,Melvin Marxen,Central,GTX,1096,marketing,2000.0,2952.73,5107.0,United States,Unknown
QMFN71BT,Darcel Schlecht,GTX Plus Basic,Unknown,Engaging,2017-08-13,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
WDUOD19F,Darcel Schlecht,GTX Plus Basic,Dontechi,Lost,2017-08-15,2017-12-03,0.0,Melvin Marxen,Central,GTX,1096,software,1982.0,4618.0,10083.0,United States,Unknown
ANZJNT1Q,Darcel Schlecht,GTX Plus Basic,Rundofase,Won,2017-08-15,2017-08-25,1104.0,Melvin Marxen,Central,GTX,1096,technolgy,1983.0,1008.06,1238.0,United States,Unknown
DVAOMCYK,Darcel Schlecht,GTX Plus Basic,Dontechi,Won,2017-08-17,2017-11-19,1029.0,Melvin Marxen,Central,GTX,1096,software,1982.0,4618.0,10083.0,United States,Unknown
0WERZ67T,Darcel Schlecht,GTX Plus Basic,Warephase,Won,2017-08-18,2017-11-13,986.0,Melvin Marxen,Central,GTX,1096,services,1997.0,2041.73,5276.0,United States,Unknown
8RR4WXXZ,Darcel Schlecht,GTX Plus Basic,Codehow,Lost,2017-08-21,2017-11-27,0.0,Melvin Marxen,Central,GTX,1096,software,1998.0,2714.9,2641.0,United States,Acme Corporation
IOTAHMQX,Darcel Schlecht,GTX Plus Basic,Codehow,Won,2017-08-28,2017-09-07,1252.0,Melvin Marxen,Central,GTX,1096,software,1998.0,2714.9,2641.0,United States,Acme Corporation
SZPU1DSR,Darcel Schlecht,GTX Plus Basic,Hottechi,Lost,2017-09-04,2017-11-30,0.0,Melvin Marxen,Central,GTX,1096,technolgy,1997.0,8170.38,16499.0,Korea,Unknown
MUUNQNG2,Darcel Schlecht,GTX Plus Basic,Bioholding,Won,2017-09-10,2017-09-17,1159.0,Melvin Marxen,Central,GTX,1096,medical,2012.0,587.34,1356.0,Philipines,Unknown
87KZX1UX,Darcel Schlecht,GTX Plus Basic,Codehow,Won,2017-09-16,2017-11-25,1179.0,Melvin Marxen,Central,GTX,1096,software,1998.0,2714.9,2641.0,United States,Acme Corporation
PLRBC69J,Darcel Schlecht,GTX Plus Basic,Rangreen,Won,2017-09-16,2017-09-26,1153.0,Melvin Marxen,Central,GTX,1096,technolgy,1987.0,2938.67,8775.0,Panama,Unknown
2UNDAQZ2,Darcel Schlecht,GTX Plus Basic,Domzoom,Lost,2017-09-24,2017-10-04,0.0,Melvin Marxen,Central,GTX,1096,entertainment,1998.0,217.87,551.0,United States,Unknown
K25Z2KKH,Darcel Schlecht,GTX Plus Basic,Streethex,Lost,2017-09-29,2017-10-05,0.0,Melvin Marxen,Central,GTX,1096,retail,1988.0,1376.8,1165.0,Belgium,Unknown
CMM4A6NJ,Darcel Schlecht,GTX Plus Basic,Isdom,Lost,2017-09-30,2017-10-06,0.0,Melvin Marxen,Central,GTX,1096,medical,2002.0,3178.24,4540.0,United States,Unknown
TWGFQS8L,Darcel Schlecht,GTX Plus Basic,Cancity,Lost,2017-10-02,2017-10-12,0.0,Melvin Marxen,Central,GTX,1096,retail,2001.0,718.62,2448.0,United States,Unknown
B9KFRY53,Darcel Schlecht,GTX Plus Basic,Rangreen,Won,2017-10-05,2017-10-10,1132.0,Melvin Marxen,Central,GTX,1096,technolgy,1987.0,2938.67,8775.0,Panama,Unknown
H41YA4SB,Darcel Schlecht,GTX Plus Basic,Toughzap,Lost,2017-10-10,2017-12-26,0.0,Melvin Marxen,Central,GTX,1096,retail,1995.0,332.43,799.0,United States,Unknown
46JP2TQB,Darcel Schlecht,GTX Plus Basic,Globex Corporation,Lost,2017-10-11,2017-10-19,0.0,Melvin Marxen,Central,GTX,1096,technolgy,2000.0,1223.72,2497.0,Norway,Unknown
IQRA0Q8C,Darcel Schlecht,GTX Plus Basic,Ron-tech,Won,2017-10-15,2017-10-16,1154.0,Melvin Marxen,Central,GTX,1096,medical,1992.0,3922.42,6837.0,United States,Unknown
CC2ICRAG,Darcel Schlecht,GTX Plus Basic,Rundofase,Won,2017-10-22,2017-12-29,1087.0,Melvin Marxen,Central,GTX,1096,technolgy,1983.0,1008.06,1238.0,United States,Unknown
LROWI84G,Darcel Schlecht,GTX Plus Basic,Dontechi,Won,2017-10-23,2017-10-31,1237.0,Melvin Marxen,Central,GTX,1096,software,1982.0,4618.0,10083.0,United States,Unknown
IQAP70OD,Darcel Schlecht,GTX Plus Basic,Streethex,Won,2017-10-23,2017-10-29,965.0,Melvin Marxen,Central,GTX,1096,retail,1988.0,1376.8,1165.0,Belgium,Unknown
AS2BKSCT,Darcel Schlecht,GTX Plus Basic,Codehow,Lost,2017-10-24,2017-11-08,0.0,Melvin Marxen,Central,GTX,1096,software,1998.0,2714.9,2641.0,United States,Acme Corporation
VAM56BG4,Darcel Schlecht,GTX Plus Basic,Acme Corporation,Prospecting,,,,Melvin Marxen,Central,GTX,1096,technolgy,1996.0,1100.04,2822.0,United States,Unknown
ZTCQWF53,Darcel Schlecht,GTX Plus Basic,Faxquote,Prospecting,,,,Melvin Marxen,Central,GTX,1096,telecommunications,1995.0,1825.82,5595.0,United States,Sonron
LKDSEQ2Q,Darcel Schlecht,GTX Plus Basic,Yearin,Prospecting,,,,Melvin Marxen,Central,GTX,1096,retail,2005.0,2261.05,3851.0,United States,Unknown
I2LEEFAM,Darcel Schlecht,GTX Plus Basic,Unknown,Prospecting,,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
1LWG4COF,Darcel Schlecht,GTX Plus Basic,Unknown,Prospecting,,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
FEL7FQQG,Darcel Schlecht,GTX Plus Basic,Unknown,Prospecting,,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
0TQP0E65,Darcel Schlecht,GTX Plus Basic,Unknown,Prospecting,,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
P95E1DOX,Darcel Schlecht,GTX Plus Basic,Unknown,Prospecting,,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
JCRT0QHO,Darcel Schlecht,GTX Plus Basic,Unknown,Prospecting,,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
MTGV7WOM,Darcel Schlecht,GTX Plus Basic,Unknown,Prospecting,,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
IEMOIN3K,Darcel Schlecht,GTX Plus Basic,Unknown,Prospecting,,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
XTXMQMRC,Darcel Schlecht,GTX Plus Basic,Unknown,Prospecting,,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
OQX98BBL,Darcel Schlecht,GTX Plus Basic,Unknown,Prospecting,,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
RH0FJYPZ,Darcel Schlecht,GTX Plus Basic,Unknown,Prospecting,,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
HD6YD6P9,Darcel Schlecht,GTX Plus Basic,Unknown,Prospecting,,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
64OXRCSR,Darcel Schlecht,GTX Plus Basic,Unknown,Prospecting,,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
EG3X1ACF,Darcel Schlecht,GTX Plus Basic,Unknown,Prospecting,,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
TJ64MOUR,Darcel Schlecht,GTX Plus Basic,Unknown,Prospecting,,,,Melvin Marxen,Central,GTX,1096,Unknown,,,,Unknown,Unknown
